Trial,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
T1,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T2,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T3,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T4,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T5,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T6,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T7,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T8,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T9,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb
T10,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T11,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T12,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T13,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T14,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T15,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T16,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T17,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T18,sb,sb,sb,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab
T19,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T20,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T21,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T22,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T23,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T24,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T25,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T26,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T27,mbb,mbb,mbb,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb
T28,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb
T29,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb
T30,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb
T31,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb
T32,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb
T33,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb
T34,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb
T35,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb
T36,ddb,ddb,ddb,dab,dab,dab,sb,sb,sb,mbb,mbb,mbb