Trial,P1,,P2,,P3,,P4,,P5,,P6,,P7,,P8,,P9,,P10,,P11,,P12,
T1,A,a,B,b,C,c,D,d,E,e,F,f,A,g,B,h,C,i,G,a,H,b,I,c
T2,B,d,C,e,D,f,E,g,F,h,G,i,B,a,C,b,D,c,H,d,I,e,A,f
T3,C,g,D,h,E,i,F,a,G,b,H,c,C,d,D,e,E,f,I,g,A,h,B,i
T4,D,a,E,b,F,c,G,d,H,e,I,f,D,g,E,h,F,i,A,a,B,b,C,c
T5,E,d,F,e,G,f,H,g,I,h,A,i,E,a,F,b,G,c,B,d,C,e,D,f
T6,F,g,G,h,H,i,I,a,A,b,B,c,F,d,G,e,H,f,C,g,D,h,E,i
T7,G,a,H,b,I,c,A,d,B,e,C,f,G,g,H,h,I,i,D,a,E,b,F,c
T8,H,d,I,e,A,f,B,g,C,h,D,i,H,a,I,b,A,c,E,d,F,e,G,f
T9,I,g,A,h,B,i,C,a,D,b,E,c,I,d,A,e,B,f,F,g,G,h,H,i
T10,G,a,H,b,I,c,G,d,H,e,I,f,D,g,E,h,F,i,G,a,H,b,I,c
T11,H,d,I,e,A,f,H,g,I,h,A,i,E,a,F,b,G,c,H,d,I,e,A,f
T12,I,g,A,h,B,i,I,a,A,b,B,c,F,d,G,e,H,f,I,g,A,h,B,i
T13,A,a,B,b,C,c,A,d,B,e,C,f,G,g,H,h,I,i,A,a,B,b,C,c
T14,B,d,C,e,D,f,B,g,C,h,D,i,H,a,I,b,A,c,B,d,C,e,D,f
T15,C,g,D,h,E,i,C,a,D,b,E,c,I,d,A,e,B,f,C,g,D,h,E,i
T16,D,a,E,b,F,c,D,d,E,e,F,f,A,g,B,h,C,i,D,a,E,b,F,c
T17,E,d,F,e,G,f,E,g,F,h,G,i,B,a,C,b,D,c,E,d,F,e,G,f
T18,F,g,G,h,H,i,F,a,G,b,H,c,C,d,D,e,E,f,F,g,G,h,H,i
T19,D,a,E,b,F,c,A,d,B,e,C,f,D,g,E,h,F,i,A,a,B,b,C,c
T20,E,d,F,e,G,f,B,g,C,h,D,i,E,a,F,b,G,c,B,d,C,e,D,f
T21,F,g,G,h,H,i,C,a,D,b,E,c,F,d,G,e,H,f,C,g,D,h,E,i
T22,G,a,H,b,I,c,D,d,E,e,F,f,G,g,H,h,I,i,D,a,E,b,F,c
T23,H,d,I,e,A,f,E,g,F,h,G,i,H,a,I,b,A,c,E,d,F,e,G,f
T24,I,g,A,h,B,i,F,a,G,b,H,c,I,d,A,e,B,f,F,g,G,h,H,i
T25,A,a,B,b,C,c,G,d,H,e,I,f,A,g,B,h,C,i,G,a,H,b,I,c
T26,B,d,C,e,D,f,H,g,I,h,A,i,B,a,C,b,D,c,H,d,I,e,A,f
T27,C,g,D,h,E,i,I,a,A,b,B,c,C,d,D,e,E,f,I,g,A,h,B,i
T28,A,a,B,b,C,c,D,d,E,e,F,f,A,g,B,h,C,i,G,a,H,b,I,c
T29,B,d,C,e,D,f,E,g,F,h,G,i,B,a,C,b,D,c,H,d,I,e,A,f
T30,C,g,D,h,E,i,F,a,G,b,H,c,C,d,D,e,E,f,I,g,A,h,B,i
T31,D,a,E,b,F,c,G,d,H,e,I,f,D,g,E,h,F,i,A,a,B,b,C,c
T32,E,d,F,e,G,f,H,g,I,h,A,i,E,a,F,b,G,c,B,d,C,e,D,f
T33,F,g,G,h,H,i,I,a,A,b,B,c,F,d,G,e,H,f,C,g,D,h,E,i
T34,G,a,H,b,I,c,A,d,B,e,C,f,G,g,H,h,I,i,D,a,E,b,F,c
T35,H,d,I,e,A,f,B,g,C,h,D,i,H,a,I,b,A,c,E,d,F,e,G,f
T36,I,g,A,h,B,i,C,a,D,b,E,c,I,d,A,e,B,f,F,g,G,h,H,i